Age,Gender,Employment_Status,Work_Hours_Per_Week,Screen_Time_Hours,Sleep_Hours,Sleep_Quality,Physical_Activity_Hours,Meditation_Minutes,Coffee_Cups_Per_Day,Stress_Level,Chronic_Stress,Burnout_Risk,Occupation,Education_Level
49.0,Other,Self-Employed,30,2.9,8.3,Good,5.4,56.0,0,Low,No,Low,Business Owner,Master
55.0,Male,Employed,63,9.6,4.8,Poor,8.7,18.0,7,Moderate,No,Moderate,Farmer,Diploma
39.0,Female,Employed,55,4.3,9.3,Excellent,5.0,45.0,8,Low,No,Low,Data Scientist,Master
63.0,Female,Employed,54,9.7,8.4,Good,5.0,10.0,7,Moderate,No,Moderate,Police Officer,Diploma
36.0,Female,Unemployed,56,2.3,5.2,Average,3.7,55.0,5,Low,No,Low,Student,Master
47.0,Male,Student,46,10.3,6.5,Average,7.3,30.0,7,Moderate,No,Low,Researcher,High School
32.0,Male,Student,40,3.8,8.8,Good,0.9,51.0,4,Low,No,Low,Nurse,High School
18.0,Male,Unemployed,20,12.1,5.6,Average,3.2,17.0,5,Moderate,No,Moderate,Marketing Manager,Bachelor
44.0,Other,Employed,41,2.4,8.9,Good,2.3,49.0,2,Low,No,Low,Business Owner,Diploma
42.0,Female,Unemployed,41,7.2,9.8,Excellent,4.7,47.0,7,Moderate,No,Low,Doctor,PhD
61.0,Male,Employed,59,12.7,8.9,Good,0.2,50.0,5,Moderate,No,Moderate,Business Owner,Bachelor
63.0,Female,Employed,64,8.5,7.2,Good,7.4,33.0,3,Moderate,No,Moderate,Freelancer,Bachelor
28.0,Female,Unemployed,62,5.3,6.6,Average,7.8,1.0,8,High,Yes,High,Marketing Manager,High School
41.4,Female,Self-Employed,62,5.3,9.0,Excellent,3.7,55.0,3,Moderate,No,Moderate,Lawyer,Diploma
47.0,Female,Self-Employed,24,13.9,9.4,Excellent,0.5,37.0,1,Low,No,Low,Sales Executive,PhD
64.0,Female,Unemployed,25,8.9,4.5,Poor,5.4,45.0,7,Low,No,Low,Police Officer,Diploma
19.0,Male,Unemployed,27,11.0,6.5,Average,3.5,25.0,5,Moderate,No,Moderate,Sales Executive,Diploma
53.0,Other,Self-Employed,36,6.3,8.5,Good,1.2,30.0,2,Low,No,Moderate,Data Scientist,Master
37.0,Other,Unemployed,51,9.8,8.1,Good,9.3,34.0,4,Moderate,No,Low,Software Engineer,Master
30.0,Male,Unemployed,26,6.9,7.6,Good,4.3,60.0,7,Low,No,Low,Freelancer,PhD
50.0,Male,Self-Employed,23,8.0,4.6,Poor,0.9,59.0,8,Low,No,Low,Lawyer,Bachelor
42.0,Male,Student,26,11.7,7.6,Good,5.7,0.0,1,Low,No,Low,Business Owner,High School
19.0,Female,Unemployed,30,9.5,5.3,Average,1.7,10.0,7,Moderate,No,Moderate,Police Officer,Master
22.0,Other,Self-Employed,44,11.8,4.5,Poor,2.3,60.0,2,Moderate,No,Low,Police Officer,Diploma
34.0,Female,Self-Employed,39,4.0,6.3,Average,0.5,47.0,8,Moderate,No,Moderate,Data Scientist,Diploma
46.0,Male,Unemployed,43,8.0,8.7,Good,1.8,7.0,1,Moderate,No,Moderate,Sales Executive,PhD
36.0,Male,Unemployed,41,12.5,6.6,Average,4.4,59.0,8,Moderate,No,Low,HR Specialist,PhD
25.0,Female,Unemployed,21,13.4,4.2,Poor,8.6,54.0,2,Low,No,Low,Pilot,Bachelor
47.0,Female,Employed,22,13.6,5.8,Average,4.3,44.0,6,Low,No,Low,Accountant,PhD
52.0,Female,Self-Employed,44,8.5,9.8,Excellent,3.4,27.0,4,Moderate,No,Moderate,Nurse,High School
44.0,Other,Student,52,5.1,5.6,Average,2.1,41.0,3,Low,No,Moderate,Student,PhD
60.0,Male,Student,47,13.3,8.5,Good,3.4,3.0,8,Moderate,No,Moderate,Business Owner,Bachelor
22.0,Male,Unemployed,54,7.6,8.0,Good,9.8,37.0,7,Moderate,No,High,Nurse,Bachelor
19.0,Other,Employed,50,9.1,5.5,Average,4.6,35.0,6,Moderate,No,Moderate,Designer,Master
34.0,Female,Student,62,2.7,4.5,Poor,8.3,43.0,8,Moderate,No,Moderate,Researcher,Bachelor
45.0,Female,Unemployed,68,12.9,6.9,Average,3.8,52.0,4,High,Yes,High,Civil Engineer,High School
49.0,Other,Employed,24,12.1,5.0,Average,4.2,24.0,2,Moderate,No,Moderate,Doctor,Diploma
51.0,Other,Employed,21,4.9,6.5,Average,0.1,0.0,4,Low,No,Low,Police Officer,Diploma
44.0,Male,Employed,69,3.5,8.4,Good,4.6,35.0,2,Low,No,Low,Data Scientist,PhD
53.0,Male,Employed,40,7.4,8.7,Good,4.1,28.0,3,Low,No,Low,Researcher,High School
57.0,Female,Self-Employed,26,7.2,7.9,Good,7.6,0.0,8,Moderate,No,Moderate,Business Owner,Master
43.0,Other,Student,51,4.1,8.6,Good,9.8,12.0,1,Low,No,Low,Researcher,High School
55.0,Other,Self-Employed,38,6.1,6.4,Average,1.8,52.0,6,Low,No,Low,Doctor,High School
23.0,Female,Self-Employed,20,4.0,9.7,Excellent,9.3,54.0,8,Low,No,Low,Police Officer,PhD
60.0,Female,Employed,26,5.5,6.6,Average,6.8,53.0,2,Low,No,Low,Lawyer,PhD
60.0,Female,Employed,70,8.8,6.2,Average,3.8,42.0,4,Moderate,No,Moderate,Farmer,High School
53.0,Female,Student,59,6.9,7.6,Good,5.4,31.0,4,Low,No,Moderate,Lawyer,Master
52.0,Male,Student,47,6.4,9.1,Excellent,2.3,14.0,6,Moderate,No,Moderate,Software Engineer,Bachelor
46.0,Other,Self-Employed,57,4.4,9.3,Excellent,7.5,0.0,4,Moderate,No,Moderate,Police Officer,Diploma
32.0,Male,Student,33,3.8,4.6,Poor,2.4,39.0,5,Low,No,Low,Sales Executive,High School
30.0,Other,Self-Employed,41,5.4,6.3,Average,0.9,51.0,4,Moderate,No,Moderate,Researcher,PhD
41.0,Other,Self-Employed,67,11.0,6.0,Average,8.5,49.0,4,High,Yes,High,Business Owner,PhD
30.0,Other,Student,50,3.1,8.1,Good,4.4,14.0,8,Moderate,No,Low,Student,Diploma
39.0,Male,Unemployed,25,8.1,9.1,Excellent,9.6,41.0,3,Low,No,Low,Accountant,Bachelor
22.0,Female,Unemployed,69,9.9,9.5,Excellent,8.9,42.0,5,Moderate,No,Moderate,Business Owner,Bachelor
24.0,Male,Student,51,7.2,5.4,Average,6.3,45.0,4,Moderate,No,Low,Civil Engineer,High School
39.0,Other,Student,51,9.1,9.7,Excellent,8.8,59.0,3,Low,No,Low,Doctor,PhD
28.0,Male,Student,52,5.6,5.4,Average,4.0,47.0,7,Moderate,No,High,Farmer,Master
57.0,Female,Unemployed,54,10.1,6.3,Average,2.1,56.0,2,Moderate,No,High,Business Owner,High School
55.0,Female,Employed,44,13.6,7.0,Average,9.6,38.0,7,Moderate,No,Low,Freelancer,Bachelor
25.0,Female,Student,24,4.1,7.0,Good,9.7,54.0,1,Low,No,Low,Lawyer,PhD
65.0,Male,Employed,68,4.0,9.1,Excellent,2.0,57.0,2,Low,No,Low,Police Officer,High School
50.0,Female,Employed,45,6.4,7.0,Good,4.5,60.0,2,Low,No,Low,Chef,Master
24.0,Male,Student,48,6.4,4.4,Poor,4.7,38.0,5,Low,No,Low,HR Specialist,High School
63.0,Female,Unemployed,35,13.0,9.9,Excellent,2.8,10.0,0,Low,No,Moderate,Business Owner,Bachelor
42.0,Male,Unemployed,46,3.7,7.9,Good,2.8,12.0,0,Low,No,Low,Chef,Diploma
35.0,Male,Unemployed,70,5.3,5.7,Average,1.2,7.0,2,High,Yes,High,Data Scientist,Bachelor
25.0,Female,Self-Employed,55,4.0,7.7,Good,9.2,49.0,4,Low,No,Moderate,Civil Engineer,Diploma
20.0,Male,Employed,39,3.6,4.7,Poor,3.7,12.0,6,Moderate,No,Moderate,Data Scientist,Bachelor
26.0,Male,Student,52,13.6,9.1,Excellent,1.1,44.0,7,Moderate,No,Moderate,Teacher,High School
48.0,Other,Student,49,11.8,9.0,Excellent,3.3,44.0,0,Moderate,No,Moderate,Researcher,Diploma
63.0,Male,Unemployed,32,3.7,7.1,Good,9.9,34.0,2,Low,No,Low,Teacher,Diploma
35.0,Male,Employed,34,8.3,4.5,Poor,0.7,59.0,5,Moderate,No,Moderate,Marketing Manager,High School
55.0,Male,Unemployed,34,10.9,4.4,Poor,6.9,48.0,3,Moderate,No,Moderate,Civil Engineer,Diploma
39.0,Male,Employed,49,3.3,6.6,Average,7.2,56.0,5,Low,No,Low,Police Officer,High School
35.0,Female,Self-Employed,31,9.4,8.2,Good,6.7,38.0,4,Low,No,Low,Police Officer,PhD
62.0,Female,Self-Employed,64,11.3,5.3,Average,2.0,50.0,1,High,Yes,High,Police Officer,High School
34.0,Male,Self-Employed,48,12.8,4.1,Poor,5.9,23.0,4,High,Yes,High,Software Engineer,PhD
37.0,Male,Employed,42,3.4,5.6,Average,7.1,14.0,0,Low,No,Low,Nurse,Master
64.0,Male,Self-Employed,66,6.8,4.5,Poor,5.2,5.0,4,High,Yes,High,HR Specialist,High School
22.0,Female,Self-Employed,20,7.8,5.4,Average,9.4,12.0,8,Moderate,No,Moderate,Marketing Manager,Master
25.0,Other,Student,44,7.5,4.7,Poor,4.9,31.0,4,Moderate,No,High,Chef,Master
29.0,Male,Self-Employed,52,4.7,5.0,Average,0.4,4.0,8,High,Yes,High,Software Engineer,Bachelor
57.0,Male,Unemployed,67,3.6,9.6,Excellent,5.0,46.0,1,Moderate,No,Moderate,Police Officer,Diploma
34.0,Male,Self-Employed,58,7.9,4.6,Poor,6.4,23.0,3,High,Yes,High,Accountant,PhD
51.0,Other,Unemployed,26,7.9,7.5,Good,8.5,2.0,1,Low,No,Low,Student,Master
40.0,Other,Self-Employed,51,10.0,7.5,Good,8.7,2.0,0,Moderate,No,Moderate,Lawyer,PhD
46.0,Female,Self-Employed,27,7.8,7.0,Good,7.7,36.0,7,Moderate,No,Low,Nurse,High School
61.0,Female,Student,33,9.8,7.9,Good,1.5,19.0,1,Low,No,Low,Freelancer,Bachelor
63.0,Other,Self-Employed,60,5.9,8.2,Good,8.1,29.0,6,Moderate,No,High,Teacher,Diploma
36.0,Female,Self-Employed,28,4.3,8.7,Good,4.4,2.0,4,Low,No,Low,Freelancer,High School
40.0,Male,Student,45,5.3,9.9,Excellent,6.7,1.0,2,Low,No,Low,Designer,Diploma
23.0,Male,Unemployed,49,9.6,6.5,Average,2.6,6.0,4,High,Yes,Moderate,Software Engineer,PhD
58.0,Male,Employed,65,9.6,8.0,Good,2.8,58.0,0,Moderate,No,Moderate,Business Owner,High School
41.0,Female,Self-Employed,65,9.3,7.3,Good,3.3,5.0,1,High,Yes,High,Data Scientist,Master
58.0,Female,Unemployed,62,9.9,4.9,Poor,5.6,5.0,1,Moderate,No,High,Pilot,Diploma
42.0,Other,Self-Employed,30,9.7,5.1,Average,1.1,42.0,3,Moderate,No,Moderate,Software Engineer,Master
18.0,Male,Self-Employed,54,6.0,6.6,Average,2.5,0.0,1,Moderate,No,High,HR Specialist,High School
26.0,Male,Student,38,12.3,9.2,Excellent,5.0,56.0,2,Low,No,Low,Software Engineer,Bachelor
62.0,Male,Unemployed,67,7.4,9.3,Excellent,4.8,38.0,5,High,Yes,High,Nurse,High School
21.0,Female,Employed,48,2.7,9.4,Excellent,2.1,2.0,0,Low,No,Low,Researcher,High School
63.0,Other,Self-Employed,50,3.1,4.2,Poor,9.8,31.0,6,Moderate,No,Moderate,Lawyer,High School
52.0,Other,Self-Employed,35,4.7,6.2,Average,9.2,21.0,7,Low,No,Low,Teacher,High School
30.0,Male,Self-Employed,47,10.7,7.5,Good,3.5,40.0,6,Moderate,No,High,Accountant,High School
62.0,Other,Unemployed,50,5.2,7.7,Good,3.8,60.0,5,Low,No,Low,Researcher,Bachelor
65.0,Male,Unemployed,40,6.9,5.1,Average,1.6,8.0,5,High,Yes,High,Data Scientist,High School
28.0,Male,Student,38,6.2,8.4,Good,3.4,26.0,6,Low,No,Low,Freelancer,Master
32.0,Other,Self-Employed,29,13.6,4.7,Poor,6.9,39.0,1,Low,No,Low,Pilot,Diploma
52.0,Female,Self-Employed,31,13.9,8.9,Good,2.4,54.0,8,Low,No,Moderate,Researcher,PhD
63.0,Female,Unemployed,51,5.6,6.5,Average,7.1,30.0,1,Moderate,No,Moderate,Chef,Bachelor
32.0,Other,Unemployed,55,8.7,9.7,Excellent,6.6,20.0,6,Moderate,No,Moderate,Software Engineer,Bachelor
61.0,Female,Employed,39,8.9,9.1,Excellent,1.1,54.0,0,Low,No,Low,Nurse,High School
31.0,Male,Unemployed,20,7.7,6.4,Average,5.8,5.0,1,Low,No,Low,Business Owner,Diploma
54.0,Male,Student,28,10.2,4.8,Poor,9.4,13.0,5,Moderate,No,Moderate,Freelancer,Master
22.0,Female,Student,30,10.2,7.1,Good,8.0,49.0,4,Low,No,Low,Accountant,PhD
41.4,Other,Unemployed,40,7.4,5.5,Average,8.3,19.0,7,Low,No,Low,Designer,Master
18.0,Female,Employed,50,7.9,5.9,Average,1.2,40.0,5,High,Yes,High,Researcher,Bachelor
28.0,Female,Self-Employed,56,7.0,9.3,Excellent,5.0,2.0,0,Low,No,Low,Nurse,Bachelor
60.0,Female,Student,28,4.6,7.0,Good,3.4,0.0,6,Low,No,Low,Lawyer,Bachelor
35.0,Female,Self-Employed,23,10.5,7.8,Good,9.6,0.0,0,Low,No,Low,Lawyer,PhD
29.0,Other,Employed,51,2.6,7.8,Good,3.5,46.0,0,Low,No,Low,Business Owner,Master
27.0,Male,Employed,41,5.3,7.0,Average,2.2,48.0,2,Low,No,Low,Sales Executive,Bachelor
64.0,Male,Self-Employed,39,5.1,5.4,Average,8.3,12.0,8,Moderate,No,Moderate,Sales Executive,High School
50.0,Male,Employed,67,9.9,7.0,Good,0.5,28.0,0,High,Yes,High,Data Scientist,PhD
57.0,Male,Employed,39,3.3,9.6,Excellent,5.8,35.0,5,Low,No,Low,Researcher,PhD
42.0,Male,Self-Employed,64,6.5,4.3,Poor,8.5,46.0,1,Moderate,No,Low,Business Owner,Bachelor
32.0,Female,Employed,36,2.1,6.2,Average,3.1,28.0,1,Low,No,Low,Data Scientist,High School
31.0,Other,Student,55,12.3,4.3,Poor,3.4,14.0,0,High,Yes,High,Student,Master
64.0,Female,Student,61,5.9,8.0,Good,1.2,8.0,4,Moderate,No,High,Software Engineer,Bachelor
20.0,Female,Employed,69,10.4,5.8,Average,1.7,30.0,2,High,No,High,Freelancer,Bachelor
48.0,Other,Unemployed,32,7.0,7.9,Good,8.1,27.0,1,Low,No,Low,Accountant,Bachelor
52.0,Other,Unemployed,57,5.0,9.8,Excellent,4.6,4.0,4,Low,No,Moderate,Freelancer,PhD
37.0,Male,Unemployed,33,8.6,4.2,Poor,2.6,23.0,8,Moderate,No,Moderate,Pilot,Master
57.0,Female,Student,64,13.2,9.8,Excellent,7.9,43.0,5,High,Yes,High,Software Engineer,High School
31.0,Male,Self-Employed,47,10.8,5.8,Average,8.7,37.0,6,Moderate,No,Moderate,Teacher,Master
43.0,Female,Unemployed,55,11.6,7.4,Good,7.1,32.0,5,Moderate,No,Moderate,Doctor,Master
34.0,Male,Unemployed,24,11.6,4.1,Poor,3.9,28.0,4,Moderate,No,Moderate,Designer,PhD
29.0,Other,Student,21,3.8,9.4,Excellent,9.5,42.0,6,Low,No,Low,Sales Executive,Master
59.0,Female,Unemployed,29,2.3,5.7,Average,8.6,33.0,4,Low,No,Low,Teacher,Bachelor
63.0,Other,Self-Employed,27,6.3,8.9,Good,4.2,12.0,8,Low,No,Low,Business Owner,PhD
60.0,Male,Self-Employed,53,6.6,7.8,Good,8.0,52.0,0,Low,No,Low,Data Scientist,Bachelor
58.0,Male,Student,39,12.3,10.0,Excellent,2.0,3.0,6,Moderate,No,Low,Civil Engineer,Diploma
24.0,Male,Self-Employed,24,12.2,4.5,Poor,4.3,10.0,0,Low,No,Low,Lawyer,Master
56.0,Other,Self-Employed,40,3.9,7.7,Good,4.8,39.0,4,Low,No,Low,Data Scientist,Bachelor
24.0,Male,Student,26,10.7,5.3,Average,2.9,40.0,3,Moderate,No,Low,HR Specialist,High School
51.0,Female,Student,41,13.4,7.9,Good,3.3,9.0,5,Moderate,No,Moderate,Police Officer,Diploma
50.0,Male,Student,39,2.8,5.2,Average,4.7,31.0,1,Low,No,Low,Student,Master
50.0,Male,Student,41,3.2,7.0,Good,4.9,19.0,5,Moderate,No,Moderate,Freelancer,Bachelor
38.0,Male,Unemployed,42,3.5,7.6,Good,8.4,0.0,4,Low,No,Low,Nurse,Diploma
31.0,Other,Student,30,10.5,6.2,Average,5.0,28.0,2,Moderate,No,Low,Civil Engineer,Bachelor
51.0,Male,Student,55,8.1,6.5,Average,8.2,33.0,0,Low,No,Low,Lawyer,Master
56.0,Male,Student,57,2.9,5.9,Average,4.9,11.0,7,Moderate,No,Moderate,Farmer,PhD
20.0,Male,Employed,54,5.9,9.7,Excellent,5.9,10.0,2,Low,No,Low,Business Owner,High School
57.0,Other,Employed,52,7.1,5.3,Average,8.9,14.0,3,Moderate,No,Moderate,Pilot,PhD
47.0,Female,Student,26,2.1,5.8,Average,2.6,55.0,6,Low,No,Low,Farmer,PhD
35.0,Other,Self-Employed,69,12.5,6.3,Average,9.3,8.0,3,Moderate,No,High,Software Engineer,Diploma
34.0,Other,Student,21,11.8,9.8,Excellent,4.5,49.0,4,Low,No,Low,Police Officer,PhD
43.0,Other,Student,57,4.4,9.0,Excellent,9.4,0.0,2,Moderate,No,Low,Civil Engineer,Master
44.0,Other,Unemployed,53,3.4,8.5,Good,4.6,33.0,1,Low,No,Low,Marketing Manager,High School
40.0,Male,Student,63,9.9,7.1,Good,6.4,27.0,6,High,Yes,High,Researcher,PhD
46.0,Male,Self-Employed,68,13.0,4.2,Poor,1.0,43.0,2,High,Yes,High,Data Scientist,PhD
52.0,Other,Self-Employed,21,13.2,9.3,Excellent,5.1,0.0,6,Moderate,No,Moderate,Accountant,Diploma
48.0,Male,Self-Employed,33,2.6,6.9,Average,3.0,15.0,3,Low,No,Low,Marketing Manager,High School
60.0,Male,Employed,51,11.3,6.5,Average,0.3,19.0,7,High,Yes,High,Police Officer,Bachelor
19.0,Other,Unemployed,50,5.7,5.3,Average,1.4,39.0,1,Low,No,Moderate,Police Officer,PhD
64.0,Female,Unemployed,39,9.0,6.7,Average,7.1,31.0,8,Moderate,No,Moderate,Freelancer,Bachelor
62.0,Female,Self-Employed,36,2.3,5.5,Average,9.9,0.0,3,Low,No,Low,Designer,Master
40.0,Female,Employed,43,6.4,9.8,Excellent,7.3,17.0,8,Low,No,Moderate,Data Scientist,Bachelor
19.0,Male,Student,23,2.5,8.4,Good,9.2,55.0,2,Low,No,Low,Teacher,Bachelor
23.0,Female,Employed,49,8.5,7.0,Excellent,2.1,38.0,7,Moderate,No,Low,Designer,Diploma
43.0,Female,Self-Employed,57,8.0,6.9,Average,6.4,42.0,3,Moderate,No,Low,Accountant,High School
63.0,Female,Unemployed,22,7.3,7.8,Good,2.2,53.0,7,Low,No,Low,Designer,PhD
27.0,Male,Self-Employed,44,9.1,8.7,Good,9.6,23.0,5,Moderate,No,Low,Sales Executive,PhD
54.0,Other,Unemployed,46,4.6,4.4,Poor,3.2,3.0,1,Moderate,No,Moderate,Civil Engineer,Diploma
32.0,Female,Employed,66,3.2,7.0,Good,5.6,46.0,6,Low,No,Low,Pilot,Bachelor
64.0,Other,Student,58,3.0,5.1,Average,1.9,30.0,5,High,Yes,High,HR Specialist,Diploma
57.0,Other,Self-Employed,57,5.0,7.2,Good,8.5,45.0,1,Low,No,Low,Researcher,Master
35.0,Male,Unemployed,68,12.1,9.1,Excellent,5.9,31.0,5,High,Yes,High,Software Engineer,PhD
51.0,Male,Unemployed,35,12.6,7.3,Good,6.0,7.0,2,Moderate,No,Moderate,Researcher,High School
52.0,Other,Self-Employed,32,3.4,7.3,Good,9.4,40.0,5,Low,No,Low,Software Engineer,PhD
63.0,Other,Unemployed,45,3.9,6.1,Average,3.4,53.0,6,Moderate,No,Low,Teacher,PhD
33.0,Female,Student,50,11.5,4.4,Poor,5.0,41.0,6,Moderate,No,Moderate,Freelancer,Bachelor
37.0,Other,Employed,41,8.1,6.1,Average,2.9,30.0,7,Low,No,Moderate,Nurse,High School
65.0,Other,Employed,34,13.2,7.6,Good,5.5,22.0,8,Moderate,No,High,Pilot,Master
26.0,Male,Unemployed,43,3.4,9.9,Excellent,2.3,29.0,5,Low,No,Low,HR Specialist,PhD
29.0,Male,Employed,35,10.4,7.0,Good,0.3,30.0,5,Moderate,No,High,Lawyer,Diploma
20.0,Other,Self-Employed,69,4.6,7.0,Good,2.0,18.0,1,High,Yes,High,Student,PhD
32.0,Male,Employed,27,12.9,8.7,Good,4.1,53.0,2,Low,No,Low,Chef,Bachelor
21.0,Other,Self-Employed,59,5.2,8.8,Good,6.3,29.0,3,Moderate,No,Low,Civil Engineer,High School
55.0,Female,Employed,54,10.9,8.0,Good,7.1,2.0,5,Moderate,No,Moderate,Pilot,Diploma
59.0,Other,Self-Employed,46,4.2,6.0,Average,1.6,44.0,8,Moderate,No,Moderate,Police Officer,Bachelor
48.0,Other,Employed,67,6.1,5.0,Average,1.6,43.0,7,Moderate,No,High,HR Specialist,Diploma
41.0,Other,Unemployed,33,4.6,4.8,Poor,1.2,47.0,6,Low,No,Low,Lawyer,High School
42.0,Female,Unemployed,32,7.6,5.2,Average,8.7,10.0,8,Moderate,No,Moderate,Researcher,High School
45.0,Male,Unemployed,36,7.0,8.4,Good,4.0,6.0,3,Low,No,Low,Marketing Manager,High School
33.0,Female,Unemployed,25,11.6,8.1,Good,3.8,24.0,0,Low,No,Low,Designer,Bachelor
48.0,Female,Student,38,10.7,9.6,Excellent,3.1,38.0,2,Low,No,Low,Student,Master
36.0,Female,Student,64,8.6,5.7,Average,4.2,30.0,3,High,Yes,High,Designer,High School
50.0,Male,Employed,43,11.2,4.1,Poor,4.9,4.0,2,High,No,High,Marketing Manager,High School
43.0,Male,Self-Employed,30,2.6,8.9,Good,7.1,10.0,3,Low,No,Low,Doctor,Diploma
43.0,Other,Employed,22,10.8,6.0,Average,2.0,24.0,8,Moderate,No,Moderate,Nurse,High School
22.0,Female,Self-Employed,33,7.6,4.6,Poor,7.6,5.0,6,Low,No,Low,Accountant,High School
51.0,Female,Unemployed,63,3.6,9.7,Excellent,3.9,28.0,1,Low,No,Low,Chef,PhD
42.0,Female,Student,41,13.3,5.6,Average,8.4,39.0,6,Moderate,No,Low,Lawyer,Diploma
38.0,Other,Unemployed,28,3.1,5.7,Average,0.2,36.0,0,Low,No,Low,Designer,High School
23.0,Female,Student,53,11.0,4.6,Poor,9.8,13.0,3,Moderate,No,Low,HR Specialist,Bachelor
29.0,Male,Employed,37,3.8,6.6,Average,3.3,11.0,1,Low,No,Low,Data Scientist,Diploma
44.0,Female,Self-Employed,27,9.4,5.1,Average,4.9,60.0,2,Low,No,Low,Business Owner,Master
55.0,Female,Student,29,11.5,7.2,Good,5.0,15.0,6,Moderate,No,Moderate,Software Engineer,Diploma
25.0,Female,Unemployed,40,12.5,6.3,Average,6.2,0.0,4,Moderate,No,High,Farmer,Bachelor
40.0,Female,Employed,49,9.3,9.0,Excellent,4.6,43.0,6,Moderate,No,Moderate,Farmer,Diploma
61.0,Female,Student,36,3.0,9.0,Excellent,6.3,5.0,0,Low,No,Low,Accountant,Diploma
52.0,Other,Self-Employed,30,5.8,8.1,Good,9.2,1.0,1,Low,No,Low,Pilot,Master
45.0,Other,Student,39,3.4,4.6,Poor,8.5,4.0,1,Low,No,Low,Chef,Bachelor
41.0,Female,Employed,70,8.9,4.1,Poor,4.4,53.0,7,High,Yes,High,Pilot,PhD
34.0,Other,Unemployed,45,2.9,9.8,Excellent,1.1,9.0,3,Low,No,Low,Sales Executive,Bachelor
50.0,Female,Self-Employed,27,6.4,6.1,Average,3.8,13.0,0,Low,No,Low,Researcher,Master
33.0,Female,Student,70,9.4,6.5,Average,3.1,45.0,2,High,Yes,High,Farmer,PhD
35.0,Male,Student,33,2.8,6.6,Average,2.6,41.0,7,Low,No,Low,Researcher,Master
27.0,Other,Self-Employed,52,11.9,7.0,Good,5.0,52.0,8,Moderate,No,Moderate,Marketing Manager,Master
57.0,Female,Student,47,6.9,7.5,Good,0.5,3.0,7,Moderate,No,Low,Farmer,Bachelor
47.0,Female,Unemployed,67,2.1,6.8,Average,1.2,20.0,3,Moderate,No,Moderate,Lawyer,Master
55.0,Male,Student,46,7.4,9.9,Excellent,7.6,49.0,0,Low,No,Low,Business Owner,Master
30.0,Female,Employed,38,6.8,6.8,Average,9.6,30.0,7,Moderate,No,Moderate,Data Scientist,PhD
52.0,Other,Self-Employed,57,9.1,7.3,Good,1.5,9.0,5,High,Yes,High,Student,High School
55.0,Other,Unemployed,23,8.4,8.4,Good,2.1,30.0,0,Low,No,Low,Data Scientist,High School
58.0,Female,Student,34,9.0,6.5,Average,5.0,30.0,5,Low,No,Low,Chef,Bachelor
31.0,Female,Unemployed,32,13.9,8.3,Good,0.0,33.0,0,Low,No,Low,Police Officer,PhD
36.0,Other,Self-Employed,61,2.9,8.3,Good,7.6,0.0,5,Moderate,No,Low,Doctor,Diploma
40.0,Female,Student,56,11.8,7.2,Good,0.1,44.0,7,High,Yes,High,Student,High School
19.0,Female,Self-Employed,30,3.4,7.1,Good,4.2,29.0,7,Moderate,No,Low,Farmer,Bachelor
44.0,Other,Self-Employed,34,10.6,6.7,Average,5.6,18.0,5,Moderate,No,Moderate,Accountant,Bachelor
37.0,Other,Self-Employed,31,5.8,9.7,Excellent,0.6,54.0,3,Low,No,Low,Pilot,High School
45.0,Female,Employed,47,12.6,8.2,Good,1.7,48.0,6,Moderate,No,High,Sales Executive,Master
51.0,Female,Employed,69,9.8,6.7,Average,3.5,37.0,4,Moderate,No,High,Farmer,High School
49.0,Male,Self-Employed,61,9.9,4.3,Poor,2.0,11.0,1,High,Yes,High,HR Specialist,Master
41.4,Other,Employed,54,2.3,8.3,Good,4.1,40.0,0,Low,No,Low,Farmer,Bachelor
53.0,Male,Employed,67,11.4,5.7,Average,0.3,33.0,3,High,Yes,High,Researcher,Bachelor
32.0,Male,Employed,65,6.1,6.5,Average,2.5,6.0,8,High,Yes,High,Doctor,High School
50.0,Female,Unemployed,43,2.9,5.6,Average,1.5,4.0,7,Moderate,No,Moderate,Chef,High School
32.0,Male,Unemployed,66,11.1,9.0,Excellent,7.8,59.0,1,Low,No,Low,Accountant,PhD
39.0,Other,Employed,29,8.4,5.5,Average,0.5,0.0,0,Moderate,No,Low,Teacher,PhD
62.0,Other,Self-Employed,51,11.9,5.0,Average,5.5,48.0,8,Moderate,No,High,Researcher,PhD
55.0,Male,Employed,68,9.7,9.1,Excellent,3.9,44.0,0,Low,No,Low,HR Specialist,Diploma
24.0,Female,Self-Employed,37,11.1,7.4,Good,1.8,19.0,8,Moderate,No,Low,Software Engineer,Diploma
26.0,Female,Unemployed,41,10.1,8.3,Good,1.1,3.0,6,Moderate,No,Moderate,Doctor,Bachelor
59.0,Female,Unemployed,48,6.9,7.5,Good,3.8,55.0,7,Low,No,Low,Teacher,PhD
43.0,Male,Student,52,11.1,4.7,Poor,2.9,45.0,8,High,Yes,High,Software Engineer,PhD
34.0,Male,Self-Employed,60,7.9,7.5,Good,4.3,49.0,7,Moderate,No,High,Business Owner,Bachelor
25.0,Female,Unemployed,53,5.9,8.3,Good,4.9,23.0,1,Low,No,Low,Student,High School
49.0,Other,Self-Employed,63,5.6,8.2,Good,1.3,10.0,3,Moderate,No,Moderate,Designer,High School
53.0,Other,Student,31,13.5,7.1,Good,1.8,51.0,3,Low,No,Moderate,HR Specialist,High School
